time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449650000	17.2833	18.7867	4.71521	2.42782	0.523135	radar	2.23667e-314	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1291	18.9173	4.63424	2.45215	0.521272	lidar	1.39069e-309	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9619	19.0877	4.65239	2.46387	0.498362	radar	2.23667e-314	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7404	19.2079	4.68073	2.50506	0.516056	lidar	1.39069e-309	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5463	19.3645	4.72584	2.53001	0.52129	radar	2.23667e-314	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3051	19.5397	4.87779	2.55517	0.519393	lidar	1.39069e-309	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.084	19.6202	4.83661	2.60894	0.56516	radar	2.23667e-314	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.875	19.7664	4.87501	2.62906	0.556034	lidar	1.39069e-309	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6918	19.8879	4.78844	2.63153	0.498205	radar	2.23667e-314	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4486	20.0508	4.92288	2.64759	0.487215	lidar	1.39069e-309	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2262	20.2007	4.97646	2.65754	0.464472	radar	2.23667e-314	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0503	20.3232	4.89841	2.66966	0.453295	lidar	1.39069e-309	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8179	20.4061	4.90076	2.70907	0.482033	radar	2.23667e-314	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6057	20.5228	4.89906	2.72588	0.474211	lidar	1.39069e-309	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3616	20.6142	4.9538	2.76313	0.504714	radar	2.23667e-314	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1177	20.6855	4.95988	2.79612	0.513029	lidar	1.39069e-309	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8754	20.7601	4.98961	2.83174	0.535835	radar	2.23667e-314	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5955	20.8254	5.06977	2.86624	0.543135	lidar	1.39069e-309	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3416	20.8594	5.10749	2.92012	0.598971	radar	2.23667e-314	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1047	20.8922	5.06052	2.95588	0.606084	lidar	1.39069e-309	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8724	20.9521	5.02495	2.97576	0.589537	radar	2.23667e-314	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.696	20.9817	4.86002	3.00392	0.591763	lidar	1.39069e-309	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4374	21.0259	4.91567	3.02984	0.588151	radar	2.23667e-314	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1917	21.0616	4.92729	3.05487	0.583021	lidar	1.39069e-309	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9546	21.081	4.92331	3.08589	0.5903	radar	2.23667e-314	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7207	21.0462	4.86891	3.13286	0.611125	lidar	1.39069e-309	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4759	21.0319	4.86245	3.16807	0.615696	radar	2.23667e-314	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.271	21.0203	4.77708	3.20048	0.619849	lidar	1.39069e-309	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.017	20.9815	4.80384	3.23935	0.627916	radar	2.23667e-314	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8173	20.9394	4.7123	3.2791	0.640064	lidar	1.39069e-309	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5761	20.9352	4.62721	3.28454	0.58514	radar	2.23667e-314	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2699	20.9752	4.81442	3.27577	0.535775	lidar	1.39069e-309	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0341	20.9552	4.80632	3.29567	0.526469	radar	2.23667e-314	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85764	20.9118	4.67232	3.32997	0.53935	lidar	1.39069e-309	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
